room,table,project,tracks,link
,,SpeakUp,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/142659-speakup
,,SpeakUp,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/142659-speakup
,,SpeakUp,Sustainability,https://hackcu-vi.devpost.com/submissions/142659-speakup
,,GreenScreen,Most Random,https://hackcu-vi.devpost.com/submissions/142719-greenscreen
,,PC Jackal,Best UX/UI,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
,,PC Jackal,Most Random,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
,,PC Jackal,All Beginner,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
,,Autonotes,All Beginner,https://hackcu-vi.devpost.com/submissions/142796-autonotes
,,Autonotes,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/142796-autonotes
,,mazeRunner,All Beginner,https://hackcu-vi.devpost.com/submissions/142809-mazerunner
,,Tweet Visualizer,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/142821-tweet-visualizer
,,Tweet Visualizer,All Beginner,https://hackcu-vi.devpost.com/submissions/142821-tweet-visualizer
,,Computer Crafting,Most Random,https://hackcu-vi.devpost.com/submissions/142884-computer-crafting
,,Domain.com best entry for new domain ever. Thanks,,https://hackcu-vi.devpost.com/submissions/142885-domain-com-best-entry-for-new-domain-ever-thanks
,,Material Matters,Sustainability,https://hackcu-vi.devpost.com/submissions/142888-material-matters
,,Party Room,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/142905-party-room
,,Party Room,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/142905-party-room
,,Hand of God,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/142980-hand-of-god
,,Hand of God,Social Impact,https://hackcu-vi.devpost.com/submissions/142980-hand-of-god
,,TapVRap,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143079-tapvrap
,,TheGenerousFoundation,Social Impact,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
,,TheGenerousFoundation,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
,,TheGenerousFoundation,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
,,Visualize Attacks,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
,,Visualize Attacks,Social Impact,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
,,Visualize Attacks,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
,,Visualize Attacks,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
,,Blockchain-of-Custody,Most Random,https://hackcu-vi.devpost.com/submissions/143104-blockchain-of-custody
,,HateBad,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143107-hatebad
,,HateBad,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143107-hatebad
,,HateBad,Social Impact,https://hackcu-vi.devpost.com/submissions/143107-hatebad
,,Sparrow Courier,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143112-sparrow-courier
,,Sparrow Courier,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143112-sparrow-courier
,,GrandGamer,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143137-grandgamer
,,GrandGamer,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143137-grandgamer
,,Twitter talker,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
,,Twitter talker,Most Random,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
,,Twitter talker,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
,,BoldMetrics,All Beginner,https://hackcu-vi.devpost.com/submissions/143150-boldmetrics
,,HashMap - The Hashtag Map,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
,,HashMap - The Hashtag Map,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
,,HashMap - The Hashtag Map,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
,,HashMap - The Hashtag Map,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
,,Circle App,All Beginner,https://hackcu-vi.devpost.com/submissions/143155-circle-app
,,pyClicker++,Most Random,https://hackcu-vi.devpost.com/submissions/143156-pyclicker
,,Healthometer,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143161-healthometer
,,Healthometer,Social Impact,https://hackcu-vi.devpost.com/submissions/143161-healthometer
,,Healthometer,Most Random,https://hackcu-vi.devpost.com/submissions/143161-healthometer
,,GW Data Visualizer,,https://hackcu-vi.devpost.com/submissions/143167-gw-data-visualizer
,,HackCU,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143168-hackcu
,,HackCU,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143168-hackcu
,,HackCU,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143168-hackcu
,,HackCU,Sustainability,https://hackcu-vi.devpost.com/submissions/143168-hackcu
,,HackCU,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143168-hackcu
,,Wavesculpter,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143170-wavesculpter
,,Wavesculpter,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143170-wavesculpter
,,Privacy Destroyer,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143177-privacy-destroyer
,,Recyclable,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143178-recyclable
,,Recyclable,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143178-recyclable
,,Recyclable,Sustainability,https://hackcu-vi.devpost.com/submissions/143178-recyclable
,,Tap BlackJack,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143181-tap-blackjack
,,Tap BlackJack,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143181-tap-blackjack
,,Color Climb,Social Impact,https://hackcu-vi.devpost.com/submissions/143182-color-climb
,,LetStudy.Online,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,LetStudy.Online,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,LetStudy.Online,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,LetStudy.Online,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,LetStudy.Online,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,LetStudy.Online,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
,,SkoGreen Denver,Social Impact,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
,,SkoGreen Denver,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
,,SkoGreen Denver,All Beginner,https://hackcu-vi.devpost.com/submissions/143185-skogreen-denver
,,EcoBuy,Sustainability,https://hackcu-vi.devpost.com/submissions/143186-ecobuy
,,Getloc,MLH: Best UiPath Automation Hack,https://hackcu-vi.devpost.com/submissions/143187-getloc
,,Getloc,Social Impact,https://hackcu-vi.devpost.com/submissions/143187-getloc
,,PostGold,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143190-postgold
