Submission Title,Submission Url,Plain Description,Video,Website,File Url,Desired Prizes,Built With,First Time,What Room Are You In?,What's Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab,Submitter Screen Name,College/Universities Of Team Members,Additional Team Member Count,Team Member 1 Screen Name,...,
PartyLink,https://hackcuv.devpost.com/submissions/113493-partylink,"Inspiration

Party Registration at college campuses right now is a tedious process, students are required to physically go to some department just so they can register their party which is why most students don't do it. We wanted to create an app that solves this, students can verify their status using their .edu emails at their campuses to prove that they're students. 

There is also no standard protocol for party registration at campuses since each campus requires different things from their students, by asking student for the same information (name,address of party,etc..) we make this application very scalable. 

What It Does

Students use this to register their parties, college campuses can use this to keep track of all the parties occurring and to ensure everyone's safety. Other students can also find registered parties and RSVP.

How We Built It

Our team used NodeJS.Ngrok (server side) as well as Javascript as the primary language, we used HTML/CSS to create the front end and we integrated the Typeform API into our project.

Challenges We Ran Into


Linking mongoDB with typeform
Retrieving data from our databases and displaying it on our HTML Page.
Restricting features we wanted to add due to the time constraint


Accomplishments That We Are Proud Of


Successfully logging data into our database using typeforms
Hosting our HTML pages and having them redirect properly
Implementing a minimalist design to keep the user experience simple and to the point
Working as a team to solve issues


What We Learned


Greater understanding of databases
Additional experience in HTML/CSS, Javascript, NodeJS, and React


What's Next For PartyLink

Has potential to include APIs for some features. We originally wanted to include a map pin pointing all on/off campus student parties and also to add Snapchat Bitmoji integration but time was limited. There is also lots of room to expand communications with users of the application and their Universities.
",,https://github.com/Mohit-Doshi/Hack-CU-V,,"Best usage of Typeform APIs, MLH: Best Use of Snap Kit, MLH: Best Domain Registered with Domain.com, Coolest Hack with Twilio, Best Beginner Hack","node.js, mongodb, javascript, ngrok, api, typeform-api, react",1,Main auditorium,34,"Colorado State University, Arizona State University, University of Colorado at Boulder",,Domain.com,Kareemator,"Colorado State University, Arizona State University, University of Colorado at Boulder",3,MohitDoshi,imjncarlson,djblackbelt
CreateHUB,https://hackcuv.devpost.com/submissions/113508-createhub,"GitHub: https://github.com/vitr2218/HackCUProject

Inspiration

Connect and Create: 
Out there is a programmer who develops games in their free time, an artist who is an avid gamer, and a composer-producer who has always wanted to work on a game. Or a singer who wants art and video to go with their original song. Or someone who wants to construct a campaign complete with visuals to help illustrate their worthy cause. CreateHUB intends to bring together these creators and connect them on like-minded projects in both the amateur and professional scenes. 

The way creators currently come together involves investing time and interaction on sites such as Twitter, Instagram, ArtStation, SoundCloud, GitHub and a dose of luck in discovering a fellow creative who fits into their dream project. Even then, it is difficult to know whether or not someone would be willing and available to take on a project. CreateHUB's motivation is to cultivate a centralized space for singers, artists, programmers, video editors, composers, creators from all tracks to collaborate on projects like music, comics, videos, and games.

What it does

Provides a way for creators to explore potential projects in the marketplace and display a portfolio. Users can sign up using Typeform.

How we built it

HTML/CSS, Javascript, Typeform (signup), Firebase as the database for user data and host for the web app, Node.js packages, Express, AngularJS

Challenges we ran into

We were unfamiliar with using Typeform and Firebase so everything was a learning experience. Also, agreeing on an idea was difficult and time consuming.

Accomplishments that we're proud of

Building something and working with tools we've never used before. We're proud that we were able to pass data between Typeform on the website and Firebase. We really pushed ourselves by learning new things instead of sticking to what we already know.

What we learned

Firebase, Typeform, HTML/CSS/Javascript hacks, AngularJS

What's next for CreateHUB

World takeover. 
",,https://createhub-a1e47.firebaseapp.com,,"Best usage of Typeform APIs, Best Beginner Hack","typeform, html5, css3, javascript, firebase, node.js, angular.js, bootstrap, express.js",1,Lobby,10,"Marquette University, University of Colorado-Boulder",,,qlychee,"University of Colorado at Boulder, Marquette University",3,colleendunlap,vitr2218,ChatHelper
Distributed Multi User Dungeon,https://hackcuv.devpost.com/submissions/113510-distributed-multi-user-dungeon,"Inspiration

What it does

DMUD is a way to run any multi user text-based adventure including user made adventures. It supports any device including mobile, SMS, web, and desktop. DMUD is decentralized and uses the interplanetary filesystem (IPFS) to store data, rather than storing it on a central server. DMUD is a peer-to-peer system, again requiring no central server, little setup, and no specific network requirements.

How we built it

DMUD is built with Python. It uses the Twilio SMS API to connect players via text message and uses the Python IPFS bindings to store data in YAML format on the IPFS. 

Challenges we ran into

We learned that peer-to-peer libraries are finicky and require a specific network setup that we don't have access to at a hackathon. We also learned a lot about the pitfalls of object oriented design, especially with complex object interactions.

What's next for Distributed Multi User Dungeon

We would like to implement a more robust connection mechanism and improve the user interface.
",,https://gitlab.com/edwargix/multi-user-dungeon,,Coolest Hack with Twilio,"python, twilio, ipfs",1,Main audiotorium,35,Colorado School of Mines,,,jordannewport,Colorado School of Mines,2,edwargix,jwestarp,
KRYPTIA,https://hackcuv.devpost.com/submissions/113512-kryptia,"Summary

KRYPTIA is a multiplayer competitive educational game for Android or IOS in which participants challenge each other to prove who is the one able to decipher hidden words quicker. The game allows the player to compete in Challenging Duels (1 vs 1) or participate in Grand Challenges (All vs All). This last one has an ���Educational Challenge�۝, which allows a teacher to take control of a Grand Challenge mode, making children from the same class or school compete with each other under their teacher�۪s supervision. This works as a tool that empowers teachers  that want to introduce cybersecurity and cyphration to children in a fun and proactive way.

Game Objective

The objective of the game is to get the higher\st amount of points. When in a game, KRYPTIA will show the same 10 different questions to the users that are competing. Depending on the time needed to correctly answer each question, the times that you answered them wrong, and the position respect other users to answer each question, users will get more points. After everybody has answered all questions, points are displayed and winner (a podium of 3) is declared.

Storyline

You are a interstellar traveller in a world where something called Earth is the last turistic call. But there is a problem: as people from all over the galaxy gather there, nobody understands anybody. So, in order to understand what they are saying from this extremely interesting place called ���Earth�۝, you need to decipher what they are saying! Gather some friends to join you in this planet, and try to find out who is the quicker decypher.

Learning Objectives

User Centered Objectives


Motivate children to independently learn basic encrypting skills
Teach children about US cybersecurity current situation and challenges.
Help teachers to teach basic mathematical conversions (alphabet, decimal, binary, hexadecimal) in a participative and enjoyable way.
Provide tools to teachers that want to rise cybersecurity awareness to their pupils.


Skills Learned by Users


Ability to make critical observations.
Extract important information and patterns.
Understand the basic cyphration techniques
Capability to solve abstract problems.


Challenges Structures

The users, during the game, will have to solve 10 ���challenges�۝. Each challenge is a question that has to be answered. These questions fall in three different categories.


Category 1: determined before starting the match, sets the topic of the questions.
-- Examples: Food facts; Countries facts; Cybersecurity facts.
Category 2: determines if what has been coded is a sentence or a number. The solution to the sentence type will be a word. The solution to number types will be a number.
-- Examples Sentences: Uif dpmps pg uif topx? (The color of the snow?) Answer: White.
-- Examples Numbers: In 2040 (1939) started WWII. Answer: 1939.
Category 3:determines how the question is coded.


Game Flow

You load into the game with your username and your password.
When loaded, you can change your avatar.
In the main menu you can see:
    Start a new Game
    Enter a started game
    Continue playing a game you had already started
    See the progress in a game you have finished playing, but need to wait for other players
    See your stats.

When you start a new game, you can set three different game modes:


Duel Challenge: In this game mode you play a quick match of a random topic against a friend.
Kryptia Storm: In this game mode there is one person that designs one challenge and the other people join the room (up to 10 people). Then, asynchronously, people complete the 10 questions on the topic. The one with more points win.
Grand Challenge: (class mode) in this last game mode, the teacher can control all aspects of the challenge Controlling the 3 categories of each question, and even making its own ones! The point is that on that class they would have been taught how to solve it and the reward could be either a class ranking or the ones who finish can go to the playground so the faster you solve the challenge the more play time you get.


Scoring


500 points - 1 point per second left
100 points if you are first
80 points if you are second
60 points if you are third
-20 points if you are wrong
Maxim total points: 6000

",,https://github.com/rhuertalluch/Kryptia,,"Design, Build or Break Cyber Games for K-12 Education","python, adobe, ableton-live",1,Eldora,5,CU Boulder,,,RogerHuertaiLluch,University of Colorado at Boulder,3,alma7479,miquelro97,victorcrespo
CodeX,https://hackcuv.devpost.com/submissions/113529-codex,"Inspiration

Read the Project Documentation

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for CodeX
",,https://github.com/ShoesForClues/HackCU-CodeX,,"Design, Build or Break Cyber Games for K-12 Education","lua, c++, fusion, love2d",1,Main auditorium,"N/A, submitting a day early so we'll find out",,,,thomasian06,University of Colorado at Boulder,0,,,
Keppies Space Simulator,https://hackcuv.devpost.com/submissions/113530-keppies-space-simulator,"Inspiration

We wanted to make something cool with space.

What it does

Space.

How we built it

C++ and sfml using git.

Challenges we ran into

3D rendering equations and equations of motion.

Accomplishments that we're proud of

What we learned

A lot about the motion of celestial objects.

What's next for Keppies Space Simulator

Spaceships and life on planets.
",,https://github.com/tdepke2/KeppiesSpaceSim,,Best Beginner Hack,"c++, sfml",1,Vail,1,,,,tdepke,Colorado School of Mines,0,,,
MIXBOY Advance,https://hackcuv.devpost.com/submissions/113533-mixboy-advance,"To get the clearest idea of what this is, skip the reading and just watch this demo: https://www.youtube.com/watch?v=WmD76k6nBVs&feature=youtu.be

Inspiration

Perhaps the most iconic instrument in contemporary music ��� especially hip-hop ��� is the sampler/sequencer (here's one of my favorite videos about how some beautiful music came from it https://youtu.be/SENzTt3ftiU). In short; it's an instrument that takes any sample of audio ��� speech, music, drums ��� chops it into 16 to 32 discrete sounds, and then lets you play those sounds as though they were notes on a keyboard. It also lets you sequence/save what you play; when you record, it determines where in a 32-bar sequence an individual note you played should go, and then it plays back that sequence later on.

It costs in the four figures, though; we wanted to build something similar that'd work out of your browser, would be compatible with even the cheapest (starting at $20) controller/pad/keyboard, and would be easy for kids & adults to use. To that end, we built it with React.js, and for the audio input we take in and chop any YouTube URL.

What it does

Our tool does exactly what we described the iconic MPC sampler/sequencer does; it lets you take in any audio input (via YouTube), chops it into 24 discrete sounds, and lets you play those sounds and sequence/save them. Once you're recorded your playing (and it sequences what you've made), your URL automatically becomes share-able so that you can share your creation with anyone!

How we built it

Lot's of React, a WebMIDI library, convoluted sequencer logic, lots of tacky nostalgic CSS and GIFs :)

Challenges we ran into

The logic behind writing a sequencer is actually kinda complicated, and it took us a while to wrap our heads around. We also attempted making this a multi-track instrument, but keeping time synchronized in JavaScript is challenging enough that we decided to defer that to after the hackathon.

Accomplishments that we're proud of

It's hard to build a sequencer! We built one. We turned a several hundred/thousand dollar instrument into one that is now accessible to anyone with a laptop and maybe $20. We made an instrument inspired by what the pros use, but that's accessible to even a 4-year old who just wants to make a Baby Shark remix.

What's next for MIXBOY Advance

Turning it into a full-fledged multi-track sequencer instead of just one sample one track. Figuring out better ways to process the audio. Putting it in front of kids to see what kinds of creative stuff they can come up with.
",https://www.youtube.com/watch?v=WmD76k6nBVs&feature=youtu.be,http://mixboy.surge.sh,,,"react, midi.js, webmidi, love, kirby",1,Main auditorium,idk yet,CU Boulder,,,krrishd,"University of Colorado, Boulder, University of Colorado at Boulder",1,MichaelMerola,,
autoBleep,https://hackcuv.devpost.com/submissions/113577-autobleep,"autoBleep

A neural net enabled video project to read lips and anticipate bad words

The project

The AutoBleep is a program designed to bleep live video/audio, using video trained on a subjects face. The objective is for the program to detect the first part of a bad word though live video analysis.

The tech

The project is built off of openCV and keras primarily. An openCV program running a haar classification cascade grabs pictures of a subjects mouth every few frames, then runs them through the classifcation model.
",,https://github.com/MathiasStensrud/autoBleep,,,"python, keras, sklearn",1,"Lobby, South half, against the windows pointing into the courtyard.",21,CU,,,MathiasStensrud,University of Colorado at Boulder,0,,,
EZReceipt,https://hackcuv.devpost.com/submissions/113579-ezreceipt,"Receipts are a pain to manage. This app fixes this big issue.
",,,,,"react, go",1,lobby,123,,,,jameskim,University of Washington,0,,,
CyberHack (Demo),https://hackcuv.devpost.com/submissions/113580-cyberhack-demo,"Inspiration

The inspiration for this game primarily came from the series called ""Welcome To The Game."" These games had a unique way of implementing elements of computer science and programming into the mechanics of the game through randomly generated minigames in real time. The source of inspiration for the multiple choice section came from basic trivia style video games.

What it does

The basic rundown of the program starts with the reading functions that implement all the necessary variables to run the game and trivia from txt.files. This is run in the background and the user will not notice unless a txt.file is missing or corrupted. 
Then it displays the first menu options: Start a new game, Continue from a save file, Read the rules, or quit. The program is able to handle both starting from a new game and reading saved data from a save file and continuing from that savepoint. 
If you select a new game, you can select the difficulty, which determines the number of rounds to play. For each round, the game randomly selects a minigame and pulls a question from the database. 
Minigame one is Programmer, where the user is asked to type in the displayed code as shown and is rewarded points for full accuracy. Minigame two is Pop Quiz, which asks multiple choice questions on basic cybersecurity concepts.

How I built it

Every program starts with a concept, outline, and/or pseudocode. I start with determining what are the end goals of the program and what variables are needed throughout the function. Since I wanted to develop the functions for reading and writing save files, I had to design multiple functions and an organized system to handle and store the necessary variables to be accessed or changed at any time. Then, I started with the implementation of a class to organize and run all the functions and the driver to start the game running process. Afterward, I slowly worked each function associated with a different section of the game mechanics and rigorously tested every new function before proceeding to the next.

Challenges I ran into

I had 3 main challenges to overcome during the project.
The first was both using the getline functions to read in the data from the txt.files correctly. I'm not sure how it's possible to get a stoi error from a getline function, but I did that unintentionally, multiple times. Even when getline was working, then I had issues afterward storing the data in the right locations.

The second was linked list implementation for the data of multiple choice minigame. It was either a linked list or some form of a 3D array, which I can only assume would cause more disasters than I experienced with the linked list. It was primarily syntax and segfaults errors when trying to access the data from the linked lists that ultimately lead to a restructure of the minigame functions.

The last problem was my getter and setter functions for the minigame questions. The intention of these functions was to store the question string or it's index number after it was already answered as a way of avoiding duplicates in the same game. Despite my best efforts and multiple versions of these functions, if you play the game enough times, every now then you'll still see a duplicate question in the same playthrough. It occurs with a higher chance when the player continues from a saved file.

Accomplishments that I'm proud of

Despite some minor imperfections, I'm proud that I achieved creating a working demo of a game I designed on a solo team. I'm happy with the organization and planning that went into it so that my time could be more focused on troubleshooting and debugging.

What I learned

While ambition is great, I learned to not be too ambitious and know my limitations. There were ideas for more minigames, a surplus of trivia questions, even implementing some version of a real-time coding section where the player had to code the displayed text within a certain frame of time. Time was most certainly the biggest factor and at times, while I would have liked to program more complex functions and game mechanics, I did have to settle for simplicity for the sake of moving forward and finishing a working demo. Lastly, a couple last minor lessons were converting integers into strings and re-learning how to cin a string that counts spaces. 

What's next for CyberHack (Demo)

Well, the first step would be to look back at those getter and setter functions for the minigame questions and work out a new solution that fixes the issues mentioned above. Afterward, I would consider what other minigames I can implement that kids would enjoy while also educating them on cybersecurity. Lastly, I would most likely modify this code to run into some sort of game engine or user interface program to make it visually appealing as opposing to just staring text in a terminal screen the whole time. I've been told by a friend that the Unreal Engine runs on C++, so that's worth investigating for future projects.
",,https://github.com/BenjaminDashiell/CyberHack/releases/latest,,"Design, Build or Break Cyber Games for K-12 Education","c++, atom",1,East Side,19,University Of Colorado At Boulder,,,beda8068,University of Colorado at Boulder,0,,,
