,room,table,project,tracks,link
0,,MLH: Best use of MongoDB Atlas0,SpeakUp,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/142659-speakup
1,,MLH: Best Use of Google Cloud0,SpeakUp,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/142659-speakup
2,,D0,SpeakUp,Sustainability,https://hackcu-vi.devpost.com/submissions/142659-speakup
3,,F0,GreenScreen,Most Random,https://hackcu-vi.devpost.com/submissions/142719-greenscreen
4,,C0,PC Jackal,Best UX/UI,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
5,,F1,PC Jackal,Most Random,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
6,,B0,PC Jackal,All Beginner,https://hackcu-vi.devpost.com/submissions/142720-pc-jackal
7,,B1,Autonotes,All Beginner,https://hackcu-vi.devpost.com/submissions/142796-autonotes
8,,Best Use of Adobe XD0,Autonotes,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/142796-autonotes
9,,B2,mazeRunner,All Beginner,https://hackcu-vi.devpost.com/submissions/142809-mazerunner
10,,Most Creative Usage of Twitter API0,Tweet Visualizer,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/142821-tweet-visualizer
11,,B3,Tweet Visualizer,All Beginner,https://hackcu-vi.devpost.com/submissions/142821-tweet-visualizer
12,,F2,Computer Crafting,Most Random,https://hackcu-vi.devpost.com/submissions/142884-computer-crafting
13,,nan0,Domain.com best entry for new domain ever. Thanks,,https://hackcu-vi.devpost.com/submissions/142885-domain-com-best-entry-for-new-domain-ever-thanks
14,,D1,Material Matters,Sustainability,https://hackcu-vi.devpost.com/submissions/142888-material-matters
15,,Dish Network Challenge0,Party Room,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/142905-party-room
16,,MLH: Best use of MongoDB Atlas1,Party Room,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/142905-party-room
17,,Best Use of TapWithUS SDK0,Hand of God,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/142980-hand-of-god
18,,E0,Hand of God,Social Impact,https://hackcu-vi.devpost.com/submissions/142980-hand-of-god
19,,Best Use of TapWithUS SDK1,TapVRap,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143079-tapvrap
20,,E1,TheGenerousFoundation,Social Impact,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
21,,MLH: Best Use of Google Cloud1,TheGenerousFoundation,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
22,,MLH: Best Domain Registered with Domain.com0,TheGenerousFoundation,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143086-thegenerousfoundation
23,,Dish Network Challenge1,Visualize Attacks,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
25,,MLH: Best Use of Google Cloud2,Visualize Attacks,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
26,,MLH: Best Domain Registered with Domain.com1,Visualize Attacks,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143093-visualize-attacks
27,,F3,Blockchain-of-Custody,Most Random,https://hackcu-vi.devpost.com/submissions/143104-blockchain-of-custody
28,,MLH: Best use of MongoDB Atlas2,HateBad,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143107-hatebad
29,,Most Creative Usage of Twitter API1,HateBad,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143107-hatebad
30,,E3,HateBad,Social Impact,https://hackcu-vi.devpost.com/submissions/143107-hatebad
31,,C1,Sparrow Courier,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143112-sparrow-courier
32,,Best Use of Adobe XD1,Sparrow Courier,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143112-sparrow-courier
33,,C2,GrandGamer,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143137-grandgamer
34,,Best Use of Adobe XD2,GrandGamer,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143137-grandgamer
35,,Most Creative Usage of Twitter API2,Twitter talker,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
36,,F4,Twitter talker,Most Random,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
37,,MLH: Best Use of Google Cloud3,Twitter talker,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143141-twitter-talker
38,,B4,BoldMetrics,All Beginner,https://hackcu-vi.devpost.com/submissions/143150-boldmetrics
39,,Most Creative Usage of Twitter API3,HashMap - The Hashtag Map,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
40,,C3,HashMap - The Hashtag Map,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
41,,MLH: Best Use of Google Cloud4,HashMap - The Hashtag Map,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
42,,MLH: Best Domain Registered with Domain.com2,HashMap - The Hashtag Map,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143152-hashmap-the-hashtag-map
43,,B5,Circle App,All Beginner,https://hackcu-vi.devpost.com/submissions/143155-circle-app
44,,F5,pyClicker++,Most Random,https://hackcu-vi.devpost.com/submissions/143156-pyclicker
45,,Dish Network Challenge2,Healthometer,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143161-healthometer
46,,E4,Healthometer,Social Impact,https://hackcu-vi.devpost.com/submissions/143161-healthometer
47,,F6,Healthometer,Most Random,https://hackcu-vi.devpost.com/submissions/143161-healthometer
48,,nan1,GW Data Visualizer,,https://hackcu-vi.devpost.com/submissions/143167-gw-data-visualizer
49,,MLH: Best use of MongoDB Atlas3,HackCU,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143168-hackcu
50,,Most Creative Usage of Twitter API4,HackCU,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143168-hackcu
51,,MLH: Best Use of Google Cloud5,HackCU,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143168-hackcu
52,,D2,HackCU,Sustainability,https://hackcu-vi.devpost.com/submissions/143168-hackcu
53,,Best Use of Adobe XD3,HackCU,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143168-hackcu
54,,Best Use of TapWithUS SDK2,Wavesculpter,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143170-wavesculpter
55,,C4,Wavesculpter,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143170-wavesculpter
56,,Most Creative Usage of Twitter API5,Privacy Destroyer,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143177-privacy-destroyer
57,,MLH: Best Use of Google Cloud6,Recyclable,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143178-recyclable
58,,MLH: Best Domain Registered with Domain.com3,Recyclable,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143178-recyclable
59,,D3,Recyclable,Sustainability,https://hackcu-vi.devpost.com/submissions/143178-recyclable
60,,Best Use of TapWithUS SDK3,Tap BlackJack,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143181-tap-blackjack
61,,C5,Tap BlackJack,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143181-tap-blackjack
62,,E5,Color Climb,Social Impact,https://hackcu-vi.devpost.com/submissions/143182-color-climb
63,,Dish Network Challenge3,LetStudy.Online,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143183-letstudy-online
